year,all,Urethra,Rectum,Pharynx
2016,NaN,NaN,NaN,NaN
2017,16.425999843468734,9.223993212873879,8.179118970700827,3.2906006022249867
2018,9.481176185363488,4.754229147332259,6.138064407634743,1.8226609184879405
2019,10.100171564558083,5.933244229310407,5.872783180778032,3.9593578247035
2010,NaN,NaN,NaN,NaN
2011,NaN,NaN,NaN,NaN
2012,NaN,NaN,NaN,NaN
2013,NaN,NaN,NaN,NaN
2014,NaN,NaN,NaN,NaN
2015,NaN,NaN,NaN,NaN
